founder_id	vial_id	generation	males	females
A100	A100	G0	56	31
B100	B100	G0	34	7
C100	C100	G0	18	32
D100	D100	G0	23	18
E100	E100	G0	16	13
F100	F100	G0	40	15
G100	G100	G0	55	23
H100	H100	G0	25	27
I100	I100	G0	20	30
J100	J100	G0	45	58
K100	K100	G0	1	1
L100	L100	G0	60	18
N100	N100	G0	25	20
P100	P100	G0	38	6
Q100	Q100	G0	24	19
R100	R100	G0	60	45
S100	S100	G0	22	13
T100	T100	G0	57	50
U100	U100	G0	80	20
V100	V100	G0	75	41
W100	W100	G0	38	81
X100	X100	G0	8	16
Z100	Z100	G0	66	57
AA100	AA100	G0	60	46
BB100	BB100	G0	48	66
CC100	CC100	G0	72	37
A	A	G0	17	12
C	C	G0	41	15
D	D	G0	11	60
E	E	G0	9	71
G	G	G0	69	35
H	H	G0	44	22
I	I	G0	57	30
J	J	G0	48	49
K	K	G0	79	29
L	L	G0	14	13
M	M	G0	7	8
N	N	G0	35	21
P	P	G0	26	35
Q	Q	G0	8	21
R	R	G0	30	20
A100	A101	F1	5	1
A100	A115	F1	8	9
B100	B101	F1	29	18
B100	B102	F1	38	15
B100	B103	F1	41	24
B100	B106	F1	41	17
B100	B107	F1	54	13
C100	C101	F1	8	18
C100	C103	F1	7	12
C100	C104	F1	21	23
C100	C105	F1	7	6
C100	C107	F1	5	9
C100	C108	F1	2	6
C100	C110	F1	2	13
C100	C111	F1	3	5
C100	C115	F1	7	9
D100	D101	F1	25	15
D100	D103	F1	17	5
D100	D106	F1	24	20
D100	D107	F1	56	22
D100	D109	F1	36	15
D100	D113	F1	25	12
D100	D114	F1	20	16
E100	E101	F1	25	30
E100	E104	F1	38	28
E100	E106	F1	27	4
E100	E111	F1	22	19
E100	E112	F1	17	6
F100	F101	F1	17	6
F100	F103	F1	13	10
F100	F104	F1	22	9
F100	F105	F1	11	6
F100	F110	F1	35	15
F100	F111	F1	35	27
F100	F112	F1	27	6
G100	G102	F1	4	10
G100	G104	F1	17	7
G100	G105	F1	11	4
G100	G106	F1	18	13
G100	G107	F1	38	17
G100	G110	F1	14	8
G100	G112	F1	18	16
H100	H101	F1	45	55
H100	H102	F1	13	31
H100	H104	F1	20	20
H100	H106	F1	23	12
