founder_id	mother_vial_id	vial_id	treatment	males	females
A100	A101	A101a	18	1	8
A100	A102	A102a	25	4	13
A100	A108	A108a	12	8	20
A100	A112	A112a	25	6	14
A100	A112	A112b	25	2	11
A100	A113	A113a	12	7	20
A100	A113	A113b	12	4	11
A100	A113	A113c	12	10	24
A100	A115	A115a	18	13	4
A100	A115	A115b	18	4	4
A100	A115	A115c	18	13	18
A100	A115	A115e	18	9	5
B100	B101	B101a	18	26	31
B100	B101	B101b	18	35	24
B100	B101	B101c	18	17	19
B100	B101	B101d	18	31	27
B100	B101	B101e	18	22	18
B100	B102	B102a	18	1	
B100	B102	B102b	18	8	4
B100	B102	B102c	18	3	1
B100	B102	B102d	18	1	2
B100	B102	B102e	18	18	3
B100	B103	B103a	18	17	8
B100	B103	B103b	18	50	33
B100	B103	B103c	18	21	9
B100	B103	B103d	18	11	5
B100	B103	B103e	18	13	3
B100	B103	B103f	18	52	24
B100	B103	B103g	18	18	5
B100	B103	B103h	18	6	7
B100	B104	B104a	25	18	38
B100	B104	B104b	25	20	19
B100	B104	B104d	25	8	24
B100	B104	B104e	25	22	31
B100	B105	B105a	12	2	2
B100	B105	B105b	12	31	14
B100	B105	B105c	12	46	14
B100	B105	B105d	12	24	13
B100	B106	B106a	18	17	10
B100	B106	B106b	18	17	3
B100	B106	B106c	18	6	4
B100	B106	B106d	18	54	25
B100	B106	B106e	18	3	1
B100	B107	B107a	18	15	2
B100	B107	B107b	18	20	12
B100	B107	B107c	18	13	6
B100	B107	B107d	18	12	3
B100	B107	B107e	18	13	4
C100	C101	C101a	18	15	20
C100	C101	C101b	18	3	5
C100	C102	C102a	12	1	
C100	C102	C102b	12	5	6
C100	C102	C102c	12	8	8
C100	C102	C102d	12	3	8
C100	C102	C102e	12	2	2
C100	C103	C103a	18	6	8
C100	C103	C103b	18	3	9
C100	C103	C103c	18	5	5
C100	C103	C103d	18	3	8
C100	C103	C103e	18	6	12
C100	C104	C104a	18	8	2
C100	C104	C104b	18	10	8
C100	C104	C104c	18	4	7
C100	C104	C104d	18	3	2
C100	C105	C105a	18	8	11
C100	C105	C105b	18	7	1
C100	C105	C105c	18	10	5
C100	C105	C105d	18	7	5
C100	C105	C105e	18	2	2
C100	C106	C106a	25	6	33
C100	C106	C106b	25	9	6
C100	C106	C106c	25	4	21
C100	C106	C106d	25	7	25
C100	C106	C106e	25	24	22
C100	C107	C107a	12	10	10
C100	C107	C107b	12	2	14
C100	C107	C107c	12	7	20
C100	C107	C107d	12	8	20
C100	C107	C107e	12	1	5
C100	C108	C108b	18	7	17
C100	C111	C111a	18	11	8
C100	C111	C111b	18	14	10
C100	C111	C111c	18	6	10
C100	C113	C113b	25	12	10
C100	C113	C113c	25	8	9
C100	C113	C113d	25	9	5
C100	C113	C113e	25	5	10
C100	C115	C115a	18	22	22
C100	C115	C115b	18	14	18
C100	C115	C115c	18	23	16
C100	C115	C115d	18	1	4
C100	C115	C115e	18	10	37
D100	D101	D101a	18	0	2
D100	D101	D101b	18	11	4
D100	D101	D101c	18	16	3
D100	D101	D101d	18	13	5
D100	D101	D101e	18	19	3
D100	D102	D102b	12	17	3
D100	D102	D102c	12	5	4
D100	D102	D102d	12	17	5
D100	D102	D102e	12	14	6
D100	D103	D103a	18	11	6
D100	D103	D103b	18	9	8
D100	D103	D103c	18	3	3
D100	D104	D104a	12	3	3
D100	D104	D104c	12	13	9
D100	D105	D105b	25	15	7
D100	D106	D106a	18	11	9
D100	D106	D106b	18	7	5
D100	D106	D106c	18	6	1
